playerID,gameDate,pitch,mph,spinRate,pitcher,batter,evMph,la,distance,zone,pitchCount,inning,pitchResult,paResult,recID,batterID,batterResult,hitType,hitSpeed,videoLink
506433,2023/05/17 0:00,ST,83.2,2734,YU DARVISH,MAIKEL GARCIA,93.8,58,193,2,02月01日,Top 4,Hit Into Play,Maikel Garcia flies out to shortstop Xander Bogaerts.,186011,672580,flies out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=7d5b14db-890c-448b-ae0a-64457008491a
506433,2023/08/04 0:00,ST,81.7,2908,YU DARVISH,WILL SMITH,,,,14,0-0,Top 4,Ball,Will Smith singles on a line drive to right fielder Fernando Tatis Jr.,184915,519293,singles,line drive,medium,https://baseballsavant.mlb.com/sporty-videos?playId=62c3e48a-bc56-4644-96bb-caa824eb322e
506433,2023/08/04 0:00,CU,71.9,2765,YU DARVISH,FREDDIE FREEMAN,61.8,-31,3,14,0-1,Top 3,Hit Into Play,"Freddie Freeman grounds out, pitcher Yu Darvish to first baseman Jake Cronenworth.",184916,518692,grounds out,,soft,https://baseballsavant.mlb.com/sporty-videos?playId=426d6092-7faf-43da-bc7b-0989fda1a4c1
506433,2023/08/04 0:00,SI,94.8,2353,YU DARVISH,FREDDIE FREEMAN,,,,1,0-0,Top 3,Called Strike,"Freddie Freeman grounds out, pitcher Yu Darvish to first baseman Jake Cronenworth.",184917,518692,grounds out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=31db2595-9e7d-44fd-9b3e-5b23bba49c4f
506433,2023/08/04 0:00,FF,92.1,2601,YU DARVISH,MOOKIE BETTS,99.9,24,370,6,0-1,Top 3,Hit Into Play,Mookie Betts flies out to right fielder Fernando Tatis Jr.,184918,605141,flies out,,sharp,https://baseballsavant.mlb.com/sporty-videos?playId=e04ae0d8-fc77-4392-bcb4-278682ba28ea
506433,2023/08/04 0:00,FC,90.7,2589,YU DARVISH,MOOKIE BETTS,,,,1,0-0,Top 3,Called Strike,Mookie Betts flies out to right fielder Fernando Tatis Jr.,184919,605141,flies out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=6f48d356-180f-48ba-a082-8f845db102b5
506433,2023/08/04 0:00,SI,93,2294,YU DARVISH,ENRIQUE HERNÁNDEZ,74.1,56,186,6,1-0,Top 3,Hit Into Play,Enrique Hernandez pops out to shortstop Xander Bogaerts.,184920,571771,pops out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=ee12e459-714a-4d47-9cbe-caab250e5490
506433,2023/08/04 0:00,SI,93.1,2265,YU DARVISH,ENRIQUE HERNÁNDEZ,,,,14,0-0,Top 3,Ball,Enrique Hernandez pops out to shortstop Xander Bogaerts.,184921,571771,pops out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=2cdf656b-d811-4bf8-8d59-1244360bfc2e
506433,2023/08/04 0:00,ST,82.9,2809,YU DARVISH,AMED ROSARIO,88.9,55,286,5,01月01日,Top 2,Hit Into Play,Amed Rosario pops out to second baseman Ha-Seong Kim.,184922,642708,pops out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=8c5f6e33-3263-45e1-ad9a-5c072b39faf3
506433,2023/08/04 0:00,SI,94.6,2278,YU DARVISH,AMED ROSARIO,,,,6,1-0,Top 2,Called Strike,Amed Rosario pops out to second baseman Ha-Seong Kim.,184923,642708,pops out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=c871d3e5-db8c-4d72-87e0-62fd7055645a
506433,2023/08/04 0:00,FF,94.5,2476,YU DARVISH,AMED ROSARIO,,,,11,0-0,Top 2,Ball,Amed Rosario pops out to second baseman Ha-Seong Kim.,184924,642708,pops out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=c86bdc62-9e8a-41f5-9505-0987736d7359
506433,2023/08/04 0:00,FF,95.7,2483,YU DARVISH,JAMES OUTMAN,104.6,31,385,11,0-2,Top 2,Hit Into Play,James Outman homers (13) on a fly ball to right field.,184925,681546,,,,https://baseballsavant.mlb.com/sporty-videos?playId=b91468cc-44b5-48b2-b808-96875673f505
506433,2023/05/17 0:00,FF,95.2,2475,YU DARVISH,MAIKEL GARCIA,,,,11,01月01日,Top 4,Ball,Maikel Garcia flies out to shortstop Xander Bogaerts.,186012,672580,flies out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=25e98e48-fa93-4022-af6f-43e2ca87f0d2
506433,2023/05/17 0:00,SL,85.7,2864,YU DARVISH,MAIKEL GARCIA,,,,9,1-0,Top 4,Called Strike,Maikel Garcia flies out to shortstop Xander Bogaerts.,186013,672580,flies out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=9841d510-89f7-48b4-a468-049a8267e917
506433,2023/05/17 0:00,FF,95.2,2473,YU DARVISH,MAIKEL GARCIA,,,,12,0-0,Top 4,Ball,Maikel Garcia flies out to shortstop Xander Bogaerts.,186014,672580,flies out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=abc97cca-6507-4b0d-9f51-71ebf25b98aa
506433,2023/05/17 0:00,FS,90.3,1442,YU DARVISH,MJ MELENDEZ,93.1,16,282,11,02月02日,Top 4,Hit Into Play,MJ Melendez doubles (9) on a line drive to left fielder Juan Soto. Bobby Witt Jr. scores.,186015,669004,doubles,line drive,medium,https://baseballsavant.mlb.com/sporty-videos?playId=fc4af8f9-6d46-4611-8cb1-b99ca2710c03
506433,2023/05/17 0:00,SL,85.5,2870,YU DARVISH,MJ MELENDEZ,,,,11,02月01日,Top 4,Swinging Strike,MJ Melendez doubles (9) on a line drive to left fielder Juan Soto. Bobby Witt Jr. scores.,186016,669004,doubles,line drive,medium,https://baseballsavant.mlb.com/sporty-videos?playId=48f98356-2ebf-4475-8e74-86e71e4ee778
506433,2023/05/17 0:00,SI,95.9,2325,YU DARVISH,MJ MELENDEZ,,,,11,01月01日,Top 4,Ball,MJ Melendez doubles (9) on a line drive to left fielder Juan Soto. Bobby Witt Jr. scores.,186017,669004,doubles,line drive,medium,https://baseballsavant.mlb.com/sporty-videos?playId=b892bccd-7a40-45c4-bcf5-3af7b358771e
506433,2023/05/17 0:00,SL,86.4,2938,YU DARVISH,MJ MELENDEZ,86.2,-14,8,9,1-0,Top 4,Foul,MJ Melendez doubles (9) on a line drive to left fielder Juan Soto. Bobby Witt Jr. scores.,186018,669004,doubles,line drive,medium,https://baseballsavant.mlb.com/sporty-videos?playId=ba7cee1f-c54c-4246-9b9a-9bab92570243
506433,2023/05/17 0:00,ST,84,2934,YU DARVISH,MJ MELENDEZ,,,,1,0-0,Top 4,Ball,MJ Melendez doubles (9) on a line drive to left fielder Juan Soto. Bobby Witt Jr. scores.,186019,669004,doubles,line drive,medium,https://baseballsavant.mlb.com/sporty-videos?playId=09b0624c-c6e2-4467-8961-1535c5c65537
506433,2023/05/17 0:00,CU,72.3,2690,YU DARVISH,SALVADOR PEREZ,,,,4,01月02日,Top 4,Called Strike,Salvador Perez called out on strikes.,186020,521692,called out on strikes,,,https://baseballsavant.mlb.com/sporty-videos?playId=5312d548-3f56-4f4a-9528-388a3ccd47bc
506433,2023/05/17 0:00,ST,83.4,2924,YU DARVISH,SALVADOR PEREZ,70.5,70,135,5,01月01日,Top 4,Foul,Salvador Perez called out on strikes.,186021,521692,called out on strikes,,,https://baseballsavant.mlb.com/sporty-videos?playId=298ea90c-a58f-4c7d-8339-5810820b74af
